Gender,East/West/Out,VSAT,MSAT,WSAT,Athletics,Housing,FGEN,HSRank,HSGPA,Stem,ERG,GotSchol,Retained,1st_yr_GPA
M,west,450,490,490,0,1,0,65,3.16,0,4,0,Y,2.41
M,Out,440,520,450,1,1,0,40,2.6,0,NA,0,Y,2.07
F,west,390,480,400,1,1,1,,3.4,0,1,0,Y,3.37
F,east,460,510,510,0,1,0,45,3,0,3,0,Y,2.76
M,east,510,560,450,0,1,0,39,2.865,0,5,1,Y,3.46
M,west,450,490,510,0,1,0,74,3.5,0,2,0,Y,2.98
M,west,490,490,490,0,1,0,35,2.88,0,4,0,Y,3.02
F,west,450,470,420,1,1,0,71,3.4,0,8,0,Y,3.3
M,east,540,590,530,0,1,1,92,3.7,0,7,1,Y,3.6
M,east,440,520,430,0,1,0,38,2.69,0,2,0,Y,3.24
F,east,480,460,380,1,1,1,56,2.42,0,6,1,Y,2.71
F,west,640,580,680,0,1,1,90,3.86,0,8,1,Y,3.58
M,west,660,390,500,0,1,0,,2.4,0,2,0,Y,2.87
F,west,500,440,450,0,1,1,30,2.6,0,8,0,Y,2.6
M,east,500,560,520,0,1,0,83,3.3,0,7,1,Y,3.7
F,east,500,490,600,0,1,1,51,3,0,4,0,Y,3.02
M,west,520,420,470,0,1,0,,2.3,0,8,0,Y,1.24
F,west,,,,0,1,0,53,2.7,0,8,0,Y,2.41
M,east,550,610,520,0,1,1,82,2.9,1,7,0,Y,3.58
F,east,580,400,520,0,0,1,59,3.1,0,3,0,Y,3.08
F,west,570,590,640,0,1,0,,3.3,0,3,1,Y,3.25
F,west,410,470,480,0,1,1,,3.2,0,2,0,Y,3.44
F,Out,650,600,670,0,1,0,95,4,0,NA,1,Y,3.94
F,west,460,530,530,0,1,0,86,4,1,4,1,Y,3.74
F,west,460,550,540,0,1,0,37,3.029,1,8,0,N,3.31
M,Out,540,560,440,1,1,0,27,2.5,0,NA,0,Y,2.12
F,west,580,550,690,0,1,1,91,3.4,0,8,0,Y,3.86
M,NA,560,620,470,0,1,0,52,3,0,4,0,Y,3.25
F,east,510,480,490,0,1,1,32,2.69,0,3,0,Y,3.23
M,west,510,560,560,0,1,1,39,2.6,0,3,0,Y,2.84
F,east,460,520,540,0,1,1,84,2.71,0,8,0,Y,2.94
M,east,410,520,550,1,1,0,,3,0,5,0,Y,2.57
F,Out,,,,0,1,0,,2,0,NA,0,N,0
M,NA,500,460,500,0,1,1,38,2.7,0,4,0,Y,2.36
F,east,550,570,640,0,0,0,69,3.7,1,3,0,Y,3.66
M,west,350,400,440,0,1,1,20,2.2,0,2,0,N,2.04
M,east,510,460,440,0,1,1,58,3.26,1,6,0,Y,3.28
F,west,440,500,430,0,1,0,44,2.73,0,3,0,Y,3.49
F,east,490,470,500,0,1,1,75,3.3,0,8,0,Y,3.74
F,east,480,520,520,0,1,1,,3.68,0,5,0,Y,3.27
F,west,420,410,380,0,1,0,45,2.71,0,4,1,Y,2.49
F,west,550,440,630,0,1,0,65,3.19,0,8,1,N,3.11
F,west,560,410,480,0,1,0,35,2.63,0,8,0,N,0
F,east,390,400,500,0,1,1,76,3.21,0,5,0,Y,3.46
F,west,560,450,620,0,1,1,85,3.3,0,6,0,Y,3.56
M,east,480,550,420,0,1,0,,3.24,0,6,1,N,1.93
F,west,490,460,540,1,1,0,63,3.3,0,4,0,Y,3.43
F,west,550,590,590,1,1,0,69,3.3,1,2,0,Y,3.45
M,west,550,540,420,0,1,1,76,3.7,1,6,1,Y,3.33
F,west,490,440,520,0,1,0,,2.8,0,NA,0,Y,2.84
M,east,520,470,520,0,1,0,,2.9,0,6,0,N,0.31
F,west,600,600,600,0,1,0,,3.6,0,4,1,Y,3.5
M,east,580,520,550,0,1,1,73,3.3,0,6,0,Y,3.44
F,west,530,470,540,0,1,0,41,3,0,4,0,N,0
M,Out,430,420,410,0,1,1,,2.4,0,NA,0,Y,1.96
F,west,480,560,500,0,1,0,63,3.27,0,6,0,N,0
F,west,550,650,650,0,1,1,91,3.98,1,3,1,Y,3.97
F,west,440,470,430,0,1,0,34,3,0,4,0,Y,3.09
F,east,520,460,530,0,1,0,75,3.82,0,NA,1,N,2.82
F,west,580,530,590,0,1,1,79,4,0,4,1,Y,3.7
F,west,430,480,560,0,1,1,,2.83,0,9,0,N,0
M,east,580,500,520,0,1,1,65,3.3,0,4,0,Y,3.25
M,west,600,550,510,0,1,1,,2.2,0,9,1,Y,2.77
F,east,480,460,590,0,1,1,,3.5,0,5,1,Y,3.5
M,west,480,540,450,0,1,1,,3.3,0,9,0,Y,2.97
F,west,620,530,560,0,1,0,92,4,0,6,1,Y,3.94
F,east,520,530,580,0,1,0,59,3.5,0,6,0,Y,2.78
F,west,580,510,550,0,1,0,65,3.7,1,4,1,Y,2.98
M,Out,430,400,430,1,1,1,43,2.71,0,NA,1,Y,3.5
F,west,460,480,500,0,1,0,38,2.85,0,4,0,Y,3.75
M,east,520,600,610,0,1,0,,3.5,0,3,0,N,3.84
F,east,620,630,640,0,0,0,84,4,1,3,1,Y,3.55
M,west,520,530,520,0,1,0,85,3.45,0,4,0,Y,3.46
F,west,490,510,540,0,1,1,27,2.4,0,2,0,Y,2.51
F,west,400,530,480,0,1,1,,2.63,0,2,0,N,1.96
M,west,430,450,440,1,1,0,55,3,0,7,0,Y,2.93
M,east,500,630,500,0,0,0,45,3.02,0,3,0,Y,1.67
M,west,560,600,570,0,1,1,65,2.9,1,4,0,Y,3.33
F,east,480,510,510,1,1,1,66,3.03,0,6,0,Y,2.96
F,east,520,580,480,0,1,1,,3,0,3,0,Y,2.89
F,west,460,440,470,1,1,1,80,3.55,0,8,0,Y,3.27
F,west,570,650,600,0,1,0,,4,0,4,1,Y,3.82
F,east,490,520,550,0,1,1,39,2.6,0,3,1,Y,2.6
M,west,500,500,490,0,1,0,75,3.28,1,4,0,Y,2.78
F,west,590,440,630,0,1,0,,2.7,0,2,0,N,0
M,NA,480,500,520,0,1,0,,2.7,0,3,0,N,0
F,east,450,530,450,0,1,1,78,3,1,7,1,Y,3.37
F,east,440,380,370,0,0,1,89,4,0,6,1,N,0
F,west,420,460,440,0,1,1,,2.9,0,2,0,Y,3.17
M,west,530,480,500,0,1,1,65,3.17,0,4,0,Y,2.08
M,east,470,560,510,0,0,1,,3,1,3,0,Y,3.05
F,east,460,410,410,0,1,1,31,2.43,0,4,0,Y,2.64
M,NA,570,540,520,0,1,0,51,2.7,0,3,0,Y,2.4
M,west,410,480,540,0,1,0,62,3.1,0,8,0,Y,2.49
M,west,540,420,510,0,1,0,86,3.46,1,8,1,N,3.33
F,west,520,470,580,0,1,0,68,2.9,1,4,0,Y,3.28
F,east,600,540,640,0,0,1,95,3.7,0,7,1,N,3.62
F,east,590,570,630,0,1,1,61,2.8,0,3,0,N,0
F,east,550,440,550,0,1,0,,3,0,2,0,Y,2.95
F,east,440,530,500,0,0,1,,3.2,0,3,0,Y,2.72
F,west,540,570,550,0,1,0,,2.7,1,1,1,N,3.57
M,east,470,600,560,0,1,0,41,3,0,4,1,Y,2.75
F,east,480,460,490,0,1,0,65,2.7,0,7,1,Y,3.43
M,east,480,580,500,1,0,1,65,3,0,9,0,Y,2.53
M,west,550,510,510,0,1,1,,3.6,0,1,0,Y,3.87
M,west,480,580,500,0,1,1,,3.5,0,2,1,Y,3.57
M,west,530,490,530,0,1,0,,2.8,0,1,0,Y,2.69
F,east,370,380,440,0,1,1,47,3.18,0,6,0,Y,2.76
F,west,590,410,500,0,1,1,,3.24,0,9,0,Y,2.73
M,west,510,500,500,0,1,0,55,2.5,0,6,0,Y,2.56
F,east,510,500,590,0,1,0,59,2.6,0,6,0,Y,3.13
F,Out,,,,0,0,1,,2.3,0,NA,1,N,0
F,east,620,580,640,0,1,0,64,3.2,0,3,1,Y,3.52
F,east,440,440,510,0,0,0,90,3.36,0,7,1,Y,3.54
M,west,480,570,620,0,1,1,64,2.82,0,4,0,Y,3.49
F,west,540,490,490,0,1,1,75,3.3,0,8,0,Y,2.54
F,east,490,550,540,0,0,0,43,3.06,0,3,0,Y,2.92
F,east,540,530,480,0,0,1,97,4,0,9,1,Y,3.33
F,Out,520,550,550,0,1,1,72,3.2,0,NA,0,Y,3.1
M,east,520,500,520,0,0,0,43,2.98,1,5,0,Y,2.17
M,west,500,460,540,0,1,0,,2.9,0,1,0,Y,2.2
F,east,520,400,430,0,1,1,47,3,0,3,0,Y,2.8
M,east,500,560,550,0,0,1,50,3.17,0,3,1,Y,3.11
